id,random_int,random_float,random_date,category,boolean
1,103,15.232958946453545,2020-01-01,B,True
2,436,26.616801251553746,2020-01-02,C,False
3,861,2.2026921223816998,2020-01-03,D,False
4,271,58.32574924561156,2020-01-04,D,True
5,107,84.22307463439479,2020-01-05,A,True
6,72,54.898044944164184,2020-01-06,B,True
7,701,21.927396192387572,2020-01-07,D,True
8,21,3.366917821387272,2020-01-08,C,False
9,615,21.462807325880284,2020-01-09,D,True
10,122,41.61214280710923,2020-01-10,E,True
11,467,75.96114286997965,2020-01-11,C,False
12,215,18.784285253777412,2020-01-12,C,True
13,331,71.97914533546862,2020-01-13,D,True
14,459,86.69334683518836,2020-01-14,A,False
15,88,45.394684810835706,2020-01-15,C,False
16,373,82.14319916425933,2020-01-16,E,False
17,100,55.46573480350956,2020-01-17,A,False
18,872,63.709083708090496,2020-01-18,A,True
19,664,52.62784603382027,2020-01-19,A,False
20,131,,2020-01-20,C,True
21,662,23.465344177584935,2020-01-21,A,False
22,309,30.319405946104606,2020-01-22,D,True
23,770,28.997011894360902,2020-01-23,A,False
24,344,56.328893095381474,2020-01-24,N,False
25,492,11.995369302388992,2020-01-25,B,True
26,414,91.67916907023351,2020-01-26,E,False
27,806,72.06551452831133,2020-01-27,C,False
28,386,40.14456309131936,2020-01-28,A,False
29,192,15.862414452637797,2020-01-29,A,True
30,956,88.19921697216358,2020-01-30,D,False
31,277,82.37780901011652,2020-01-31,A,False
32,161,72.17215527171793,2020-02-01,E,True
33,460,27.154704741124235,2020-02-02,C,True
34,314,40.24466374336689,2020-02-03,B,False
35,22,,2020-02-04,A,True
36,253,18.903952472753172,2020-02-05,B,True
37,748,78.30166373167329,2020-02-06,A,True
38,857,71.50387188506838,2020-02-07,C,False
39,561,,2020-02-08,E,False
40,475,89.57267259261728,2020-02-09,C,True
41,59,58.32665178130454,2020-02-10,B,False
42,511,46.69679999636107,2020-02-11,A,True
43,682,34.03707463057627,2020-02-12,B,False
44,476,94.04485057361725,2020-02-13,E,True
45,700,8.271546152435349,2020-02-14,C,False
46,976,93.08873720608084,2020-02-15,B,True
47,783,82.67146599310183,2020-02-16,B,False
48,190,12.992992453570128,2020-02-17,N,False
49,958,,2020-02-18,A,True
50,687,86.65479817490869,2020-02-19,B,False
51,958,57.18091636071537,2020-02-20,E,False
52,563,90.71998215606223,2020-02-21,A,False
53,876,94.29838168160425,2020-02-22,A,False
54,567,42.23845221843059,2020-02-23,C,False
55,244,37.73136614063236,2020-02-24,E,False
56,832,93.63211539691568,2020-02-25,A,False
57,505,67.5140061149668,2020-02-26,C,False
58,131,11.602268134816928,2020-02-27,D,True
59,485,4.22917492226812,2020-02-28,E,False
60,819,56.46290509972631,2020-02-29,D,True
61,647,93.01709654384246,2020-03-01,A,False
62,21,84.42487024058184,2020-03-02,N,True
63,841,67.58477464643364,2020-03-03,C,False
64,167,13.911584889108752,2020-03-04,A,True
65,274,,2020-03-05,E,False
66,388,87.55112265526162,2020-03-06,E,False
67,601,,2020-03-07,D,True
68,316,27.843940825043457,2020-03-08,A,False
69,14,12.960065119544195,2020-03-09,C,False
70,242,67.61082314144112,2020-03-10,N,True
71,777,94.39823053632097,2020-03-11,A,False
72,346,26.896803159538596,2020-03-12,A,True
73,565,47.54066078500737,2020-03-13,B,True
74,898,63.43397397112043,2020-03-14,D,False
75,340,99.94662482156306,2020-03-15,A,False
76,92,10.480806499757211,2020-03-16,A,False
77,367,49.85707995057091,2020-03-17,B,False
78,956,38.51201199025,2020-03-18,B,False
79,455,86.58201652223552,2020-03-19,E,True
80,428,47.59677310116559,2020-03-20,C,True
81,509,11.097752458514808,2020-03-21,D,False
82,776,63.44241452865836,2020-03-22,E,False
83,943,77.07806182638798,2020-03-23,A,False
84,35,0.28812516656145926,2020-03-24,B,True
85,206,85.89566854206295,2020-03-25,C,True
86,81,18.60230000056656,2020-03-26,E,True
87,932,55.20693646533778,2020-03-27,C,False
88,562,41.579750068745014,2020-03-28,B,False
89,872,71.96538166105304,2020-03-29,E,True
90,388,37.116161478574185,2020-03-30,E,False
91,2,86.97631766817108,2020-03-31,C,False
92,390,73.04963609587902,2020-04-01,B,True
93,566,64.77131710629214,2020-04-02,A,True
94,106,79.62405955628543,2020-04-03,E,False
95,772,75.40230349283823,2020-04-04,A,True
96,822,3.5938674921553337,2020-04-05,B,False
97,477,39.47343538448281,2020-04-06,E,False
98,703,93.08072973164899,2020-04-07,E,True
99,402,12.572426899222622,2020-04-08,A,False
100,730,73.70965504320512,2020-04-09,D,False
101,556,97.45918113353297,2020-04-10,A,True
102,162,5.219862904497163,2020-04-11,A,False
103,202,68.21938806266104,2020-04-12,D,True
104,958,46.815414130103036,2020-04-13,B,False
105,996,,2020-04-14,B,True
106,270,8.534133648432485,2020-04-15,E,True
107,863,4.3006951866939485,2020-04-16,C,True
108,816,66.68666605509218,2020-04-17,C,False
109,271,82.33094298207179,2020-04-18,E,True
110,456,78.20153349329672,2020-04-19,C,True
111,462,54.38057278662374,2020-04-20,A,True
112,727,9.986682113617817,2020-04-21,A,True
113,252,68.80444438360138,2020-04-22,D,False
114,702,24.188888355414594,2020-04-23,D,False
115,296,91.10687027673836,2020-04-24,E,True
116,725,83.82653595457049,2020-04-25,E,False
117,720,70.93829670873909,2020-04-26,E,False
118,749,94.88459558311304,2020-04-27,A,True
119,338,3.142182151127293,2020-04-28,C,False
120,879,73.6200425060762,2020-04-29,N,True
121,53,33.02427793364053,2020-04-30,E,False
122,792,90.60658856863652,2020-05-01,A,True
123,922,26.66751966619776,2020-05-02,A,False
124,217,72.48564993150171,2020-05-03,A,False
125,764,87.76470196507815,2020-05-04,C,False
126,188,4.165681838268243,2020-05-05,E,True
127,380,39.764757959203614,2020-05-06,B,False
128,493,76.23090320219387,2020-05-07,B,False
129,41,45.49188895075871,2020-05-08,E,True
130,157,26.72526297935953,2020-05-09,E,False
131,15,21.980534882319002,2020-05-10,N,True
132,813,13.15182669163779,2020-05-11,E,True
133,65,85.71295598562823,2020-05-12,C,False
134,857,57.5355403251556,2020-05-13,B,True
135,839,7.638494499145598,2020-05-14,D,True
136,521,38.25803235706354,2020-05-15,B,True
137,344,36.77336508051099,2020-05-16,B,True
138,129,18.173919070946297,2020-05-17,A,True
139,648,43.550762547219065,2020-05-18,E,False
140,472,33.209936539313645,2020-05-19,E,True
141,63,34.18037054921825,2020-05-20,E,False
142,139,73.90265577879586,2020-05-21,A,False
143,499,22.32633855051963,2020-05-22,C,False
144,593,64.18599588553555,2020-05-23,N,False
145,392,57.06496238809349,2020-05-24,D,False
146,675,56.809251233786725,2020-05-25,C,True
